N,Посада,Мова програмування,Спеціалізація,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Університет,Ще студент,Рівень англійської,Предметна область,Дата заповнення,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
1619,Technical Lead,C++,,10 і більше років,1,3500,300,Київ,до 1000 осіб,Аутсорсингова,чоловіча,36,Вища,ОНПУ,False,Intermediate (середній),"Embedded,Інше",12/06/2017 22:02:12,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",10.0,1.0,3500,,SDEV,3664.272
1620,Software Engineer,C#/.NET,,1.5,1,830,400,Київ,до 200 осіб,Продуктова,чоловіча,19,Неповна Вища,КНУ ім. Шевченко,True,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",12/06/2017 22:02:32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.0,830,,DEV,1678.630073800738
1621,Junior Software Engineer,C#/.NET,,0.5,0.5,600,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,27,Вища,ВНУ ім. Даля,False,Intermediate (середній),Корпоративні системи,12/06/2017 22:02:44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,600,,DEV,605.65859375
1622,Software Engineer,Java,,1.5,0.5,1100,700,Черкаси,до 200 осіб,Продуктова,чоловіча,24,Вища,НТУУ «КПІ»,False,Intermediate (середній),Android,12/06/2017 22:02:44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.5,1100,,DEV,1678.630073800738
1623,QA engineer,,General QA,1.5,1.5,750,250,Одеса,до 50 осіб,Аутсорсингова,чоловіча,31,Неповна Вища,ОНПУ,False,Upper-Intermediate (вище середнього),"Веб-розробка,Інше",12/06/2017 22:04:28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,1.5,750,,QA,1176.7046070460704
1624,Talent Researcher,,,1.5,1.5,250,125,Полтава,до 50 осіб,Стартап,жіноча,24,Дві вищих,Інший ВНЗ,True,Intermediate (середній),"Телекомунікації,Інше",12/06/2017 22:04:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,250,,,550.5555555555555
1625,QA engineer,,Performance QA,2,1,2100,1100,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,28,Вища,Інший ВНЗ,False,Intermediate (середній),"Веб-розробка,Фінанси та банкінг",12/06/2017 22:04:45,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,2100,,QA,1176.7046070460704
1626,Senior Software Engineer,Golang,,10 і більше років,1,3700,0,Інше,до 200 осіб,Стартап,чоловіча,37,Вища,Інший ВНЗ,False,Elementary (початковий),Веб-розробка,12/06/2017 22:05:06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",10.0,1.0,3700,,DEV,3243.2009259259257
1627,Junior Software Engineer,C#/.NET,,1,1,590,470,Миколаїв,більше 1000 осіб,Аутсорсингова,чоловіча,24,Вища,ОНПУ,False,Upper-Intermediate (вище середнього),"Desktop Applications,Веб-розробка",12/06/2017 22:05:24,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 7 Build/MOB30X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Safari/537.36",1.0,1.0,590,,DEV,605.65859375
1628,Software Engineer,C#/.NET,,6,0.5,3000,1200,Київ,більше 1000 осіб,Аутстафінгова,чоловіча,27,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 22:05:24,"Mozilla/5.0 (Linux; Android 5.0.2; HTC One Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.83 Mobile Safari/537.36",6.0,0.5,3000,,DEV,1678.630073800738
1629,Junior Software Engineer,Java,,0.25,0.25,300,0,Дніпро,більше 1000 осіб,Аутсорсингова,чоловіча,32,Дві вищих,ДНУ ім. Гончара,False,Intermediate (середній),"Desktop Applications,Корпоративні системи",12/06/2017 22:05:37,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) CriOS/59.0.3071.84 Mobile/14F89 Safari/602.1",0.25,0.25,300,,DEV,605.65859375
1630,Software Engineer,C#/.NET,,1.5,1.5,800,300,Вінниця,до 1000 осіб,Аутсорсингова,чоловіча,23,Вища,ВНТУ,False,Intermediate (середній),Корпоративні системи,12/06/2017 22:05:41,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,800,,DEV,1678.630073800738
1631,Software Engineer,Perl,,8,менше 3 місяців,1200,200,Київ,до 50 осіб,Продуктова,чоловіча,35,Вища,Інший ВНЗ,False,Pre-intermediate (нище середнього),"eCommerce,Корпоративні системи",12/06/2017 22:06:09,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,8.0,0.0,1200,,DEV,1678.630073800738
1632,Software Engineer,Ruby/Rails,,4,2,1800,800,Дніпро,до 50 осіб,Аутсорсингова,чоловіча,20,Середня,,False,Intermediate (середній),Веб-розробка,12/06/2017 22:06:24,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/lifecell;FBID/phone;FBLC/en_US;FBOP/5;FBRV/0]",4.0,2.0,1800,,DEV,1678.630073800738
1633,Junior Software Engineer,Java,,менше 3 місяців,менше 3 місяців,650,0,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,21,Вища,Львівська Політехніка,False,Upper-Intermediate (вище середнього),Системне програмування,12/06/2017 22:07:12,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,650,,DEV,605.65859375
1634,Software Engineer,JavaScript,,1.5,1,320,200,Луцьк,до 50 осіб,Продуктова,чоловіча,24,Вища,Інший ВНЗ,False,Intermediate (середній),Веб-розробка,12/06/2017 22:07:15,"Mozilla/5.0 (Linux; Android 5.0.2; Redmi Note 2 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,1.0,320,,DEV,1678.630073800738
1635,Support,,,5,2,450,0,Київ,до 10 осіб,Продуктова,чоловіча,31,Вища,КНУТД,False,Intermediate (середній),Інше,12/06/2017 22:07:29,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,5.0,2.0,450,,,817.3391304347826
1636,Software Engineer,C#/.NET,,3,3,2000,0,Київ,до 200 осіб,Продуктова,чоловіча,25,Вища,КНУСА,False,Pre-intermediate (нище середнього),"Веб-розробка,Корпоративні системи",12/06/2017 22:07:35,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,3.0,3.0,2000,,DEV,1678.630073800738
1637,Software Engineer,Java,,3,0.25,2300,800,Київ,до 1000 осіб,Аутсорсингова,чоловіча,30,Вища,ДонНТУ,False,Upper-Intermediate (вище середнього),Фінанси та банкінг,12/06/2017 22:08:03,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.25,2300,,DEV,1678.630073800738
1638,Software Engineer,JavaScript,,1.5,1,1450,650,Харків,більше 1000 осіб,Аутсорсингова,чоловіча,24,Вища,Інший ВНЗ,False,Intermediate (середній),Веб-розробка,12/06/2017 22:08:13,"Mozilla/5.0 (Linux; Android 6.0.1; MI 5s Build/MXB48T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,1.0,1450,,DEV,1678.630073800738
1639,QA engineer,,Automation QA,4,4,1500,0,Дніпро,до 1000 осіб,Інша,чоловіча,26,Вища,ДНУ ім. Гончара,False,Intermediate (середній),"Веб-розробка,eCommerce",12/06/2017 22:08:28,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,4.0,1500,,QA,1176.7046070460704
1640,QA engineer,,General QA,1.5,1.5,750,200,Запоріжжя,до 50 осіб,Аутсорсингова,чоловіча,44,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 22:08:28,"Mozilla/5.0 (Linux; Android 5.1; MZ-m1 note Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/45.0.2454.94 Mobile Safari/537.36",1.5,1.5,750,,QA,1176.7046070460704
1641,Data Scientist / Data Analyst,,,3,0.25,1700,700,Київ,до 50 осіб,Стартап,чоловіча,25,Вища,КНЕУ,False,Intermediate (середній),"Фінанси та банкінг,eCommerce",12/06/2017 22:08:51,Opera/9.80 (Android; Opera Mini/24.0.2254/64.199; U; uk) Presto/2.12.423 Version/12.16,3.0,0.25,1700,,,1544.240506329114
1642,Talent Researcher,,,3,3,1000,500,Київ,до 50 осіб,Аутстафінгова,жіноча,27,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 22:09:03,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,3.0,1000,,,550.5555555555555
1643,Product Manager,,,7,4,4800,500,Одеса,до 1000 осіб,Продуктова,чоловіча,31,Вища,Інший ВНЗ,False,Advanced (просунутий),"Desktop Applications,Веб-розробка",12/06/2017 22:11:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",7.0,4.0,4800,,,2054.4712643678163
1644,System Architect,C#/.NET,,10 і більше років,1,8000,4000,Віддалено,більше 1000 осіб,Аутстафінгова,чоловіча,30,Вища,Інший ВНЗ,False,Advanced (просунутий),Корпоративні системи,12/06/2017 22:11:05,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,1.0,8000,,SDEV,4387.076923076923
1645,Junior QA engineer,,Manual QA,2,1,800,200,Київ,більше 1000 осіб,Аутстафінгова,чоловіча,25,Вища,НАУ,False,Upper-Intermediate (вище середнього),eCommerce,12/06/2017 22:13:06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",2.0,1.0,800,,QA,482.7747524752475
1646,Senior QA engineer,,Automation QA,4,1,2900,200,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,33,Дві вищих,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"Desktop Applications,Телекомунікації",12/06/2017 22:13:45,"Mozilla/5.0 (Linux; Android 5.1; MX4 Build/LMY47I; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/44.0.2403.146 Mobile Safari/537.36",4.0,1.0,2900,,QA,2385.536121673004
1647,Junior Software Engineer,Java,,0.25,0.25,300,300,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,23,Неповна Вища,ВНТУ,False,Intermediate (середній),Android,12/06/2017 22:14:04,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",0.25,0.25,300,,DEV,605.65859375
1648,HTML coder,,,менше 3 місяців,менше 3 місяців,300,30,Київ,до 10 осіб,Інша,чоловіча,30,Вища,Інший ВНЗ,False,Pre-intermediate (нище середнього),Веб-розробка,12/06/2017 22:14:16,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,300,,,550.9935897435897
1649,Junior Software Engineer,Swift,,1,0.25,800,500,Львів,до 50 осіб,Стартап,чоловіча,22,Неповна Вища,ЛНУ ім. Франко,True,Intermediate (середній),iOS,12/06/2017 22:14:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",1.0,0.25,800,,DEV,605.65859375
1650,Support,,,1.5,1.5,1700,600,Київ,до 200 осіб,Аутсорсингова,чоловіча,29,Вища,КНУ ім. Шевченко,False,Intermediate (середній),Інше,12/06/2017 22:14:29,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 7 Build/MOB30X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Safari/537.36",1.5,1.5,1700,,,817.3391304347826
1651,Junior Software Engineer,C#/.NET,,менше 3 місяців,менше 3 місяців,600,0,Чернівці,до 1000 осіб,Аутсорсингова,чоловіча,21,Вища,Інший ВНЗ,True,Upper-Intermediate (вище середнього),"Desktop Applications,Корпоративні системи",12/06/2017 22:16:42,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0,0.0,0.0,600,,DEV,605.65859375
1652,DevOps,,,10 і більше років,1.5,9000,5000,Одеса,до 50 осіб,Продуктова,чоловіча,34,Неповна Вища,ОНУ ім. Мечникова,False,Upper-Intermediate (вище середнього),"Телекомунікації,Мультимедіа",12/06/2017 22:16:49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,1.5,9000,,ADM,2162.6882352941175
1653,Junior Software Engineer,Python,,0.5,0.25,500,200,Львів,до 10 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,Інший ВНЗ,True,Intermediate (середній),Веб-розробка,12/06/2017 22:18:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.25,500,,DEV,605.65859375
1654,QA engineer,,Manual QA,4,1.5,1750,300,Львів,до 1000 осіб,Аутстафінгова,жіноча,31,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"Веб-розробка,Embedded",12/06/2017 22:19:24,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) CriOS/59.0.3071.84 Mobile/14F89 Safari/602.1",4.0,1.5,1750,,QA,1176.7046070460704
1655,Software Engineer,C#/.NET,,2,0.5,1500,300,Київ,до 50 осіб,Інша,чоловіча,23,Вища,НТУУ «КПІ»,True,Elementary (початковий),"Фінанси та банкінг,Корпоративні системи",12/06/2017 22:19:44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.5,1500,,DEV,1678.630073800738
1656,Software Engineer,JavaScript,,2,менше 3 місяців,1400,600,Київ,до 200 осіб,Продуктова,чоловіча,26,Технікум / Коледж,,False,Pre-intermediate (нище середнього),Веб-розробка,12/06/2017 22:19:47,"Mozilla/5.0 (Linux; Android 4.3; G630-U10 Build/HuaweiG630-U10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36",2.0,0.0,1400,,DEV,1678.630073800738
1657,Senior Software Engineer,Scala,,6,менше 3 місяців,6000,2000,Віддалено,до 10 осіб,Стартап,чоловіча,27,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 22:19:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,0.0,6000,,DEV,3243.2009259259257
1658,Product Manager,,,1.5,0.25,1900,200,Київ,до 1000 осіб,Продуктова,чоловіча,31,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),Gamedev,12/06/2017 22:20:09,"Mozilla/5.0 (Linux; Android 6.0.1; MI 5 Build/MXB48T; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,0.25,1900,,,2054.4712643678163
1659,Support,,,1.5,1.5,1200,400,Віддалено,до 10 осіб,Стартап,чоловіча,27,Вища,ЛНУ ім. Франко,False,Upper-Intermediate (вище середнього),"Desktop Applications,eCommerce",12/06/2017 22:20:17,"Mozilla/5.0 (Linux; Android 6.0.1; SM-A720F Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,1.5,1200,,,817.3391304347826
1660,Support,,,8,2,2200,100,Львів,до 200 осіб,Аутстафінгова,чоловіча,30,Вища,Львівська Політехніка,False,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",12/06/2017 22:20:44,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",8.0,2.0,2200,,,817.3391304347826
1661,Senior Software Engineer,Java,,5,1,2200,400,Київ,до 50 осіб,Аутсорсингова,чоловіча,35,Вища,НТУУ «КПІ»,False,Pre-intermediate (нище середнього),Веб-розробка,12/06/2017 22:21:19,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G36 [FBAN/FBIOS;FBAV/95.0.0.54.70;FBBV/59901094;FBDV/iPad2,5;FBMD/iPad;FBSN/iPhone OS;FBSV/9.3.5;FBSS/1;FBCR/;FBID/tablet;FBLC/ru_RU;FBOP/5;FBRV/0]",5.0,1.0,2200,,DEV,3243.2009259259257
1662,Junior Software Engineer,PHP,,3,1,1200,0,Київ,до 50 осіб,Продуктова,чоловіча,24,Вища,НТУУ «КПІ»,False,Intermediate (середній),Веб-розробка,12/06/2017 22:22:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,1200,,DEV,605.65859375
1663,Junior Software Engineer,Swift,,0.5,0.25,600,200,Полтава,до 50 осіб,Аутсорсингова,чоловіча,25,Дві вищих,Інший ВНЗ,False,Intermediate (середній),iOS,12/06/2017 22:23:05,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",0.5,0.25,600,,DEV,605.65859375
1664,Software Engineer,C#/.NET,,6,0.5,2475,-25,Харків,більше 1000 осіб,Аутсорсингова,чоловіча,29,Вища,НТУ «ХПІ»,False,Intermediate (середній),Веб-розробка,12/06/2017 22:23:15,Mozilla/5.0 (Windows NT 10.0; rv:53.0) Gecko/20100101 Firefox/53.0,6.0,0.5,2475,,DEV,1678.630073800738
1665,Software Engineer,Java,,5,менше 3 місяців,2000,400,Дніпро,більше 1000 осіб,Аутсорсингова,чоловіча,28,Вища,ДНУ ім. Гончара,False,Intermediate (середній),"Веб-розробка,eCommerce",12/06/2017 22:23:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",5.0,0.0,2000,,DEV,1678.630073800738
1666,Senior Software Engineer,C#/.NET,,3,2,3000,500,Київ,до 50 осіб,Аутсорсингова,чоловіча,30,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 22:23:29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,2.0,3000,,DEV,3243.2009259259257
1667,Software Engineer,C#/.NET,,2,1,1110,700,Вінниця,більше 1000 осіб,Аутсорсингова,чоловіча,22,Вища,ВНТУ,False,Intermediate (середній),"Веб-розробка,Інше",12/06/2017 22:23:39,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",2.0,1.0,1110,,DEV,1678.630073800738
1668,Software Engineer,C#/.NET,,4,3,2100,100,Київ,до 1000 осіб,Продуктова,чоловіча,30,Вища,КНУ ім. Шевченко,False,Upper-Intermediate (вище середнього),Desktop Applications,12/06/2017 22:24:01,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,3.0,2100,,DEV,1678.630073800738
1669,Junior Software Engineer,C#/.NET,,0.25,0.25,400,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,20,Неповна Вища,НАУ,True,Upper-Intermediate (вище середнього),"Desktop Applications,Інше",12/06/2017 22:25:29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,400,,DEV,605.65859375
1670,QA Tech Lead,,Automation QA,8,0.5,3325,665,Харків,до 200 осіб,Продуктова,чоловіча,30,Вища,НТУ «ХПІ»,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 22:26:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,0.5,3325,,QA,2684.4303797468356
1671,Junior Software Engineer,PHP,,0.5,0.5,460,300,Київ,до 50 осіб,Стартап,чоловіча,24,Вища,Інший ВНЗ,False,Intermediate (середній),Веб-розробка,12/06/2017 22:26:36,"Mozilla/5.0 (Linux; Android 6.0; U20 Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/44.0.2403.124 Mobile Safari/537.36",0.5,0.5,460,,DEV,605.65859375
1672,DevOps,,,10 і більше років,0.5,3800,450,Львів,до 200 осіб,Продуктова,чоловіча,40,Вища,Львівська Політехніка,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 22:27:18,Mozilla/5.0 (X11; FreeBSD amd64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,0.5,3800,,ADM,2162.6882352941175
1673,Sales manager,,,4,менше 3 місяців,1450,550,Харків,до 50 осіб,Аутсорсингова,чоловіча,26,Вища,НТУ «ХПІ»,False,Advanced (просунутий),"Android,iOS",12/06/2017 22:27:49,"Mozilla/5.0 (Linux; Android 6.0.1; D6653 Build/23.5.A.1.291; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",4.0,0.0,1450,,,635.8470588235294
1674,Junior Software Engineer,C#/.NET,,1,1,550,400,Тернопіль,до 200 осіб,Стартап,чоловіча,21,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 22:28:44,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/M4B30Z; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,1.0,550,,DEV,605.65859375
1675,Product Manager,,,6,2,3800,400,Київ,до 1000 осіб,Аутсорсингова,жіноча,32,Вища,КНУ ім. Шевченко,False,Advanced (просунутий),Інше,12/06/2017 22:28:56,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",6.0,2.0,3800,,,2054.4712643678163
1676,Sales manager,,,3,1,800,-400,Харків,до 50 осіб,Аутсорсингова,чоловіча,26,Вища,НТУ «ХПІ»,False,Advanced (просунутий),"Веб-розробка,Корпоративні системи",12/06/2017 22:30:14,"Mozilla/5.0 (Linux; Android 6.0.1; D6653 Build/23.5.A.1.291) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",3.0,1.0,800,,,635.8470588235294
1677,QA engineer,,Manual QA,4,4,250,0,Суми,більше 1000 осіб,Продуктова,чоловіча,25,Вища,СумГУ,False,Intermediate (середній),"Веб-розробка,Телекомунікації",12/06/2017 22:30:42,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0,4.0,4.0,250,,QA,1176.7046070460704
1678,QA engineer,,General QA,2,0.5,1150,650,Віддалено,до 10 осіб,Продуктова,чоловіча,25,Вища,НТУУ «КПІ»,False,Intermediate (середній),Desktop Applications,12/06/2017 22:31:09,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,0.5,1150,,QA,1176.7046070460704
1679,Junior QA engineer,,Manual QA,0.5,0.25,600,200,Київ,до 50 осіб,Аутсорсингова,чоловіча,31,Вища,СумГУ,False,Pre-intermediate (нище середнього),"Android, Веб-розробка",12/06/2017 22:31:35,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",0.5,0.25,600,,QA,482.7747524752475
1680,System Architect,Java,,10 і більше років,1,4750,250,Львів,до 1000 осіб,Аутстафінгова,чоловіча,33,Вища,Львівська Політехніка,False,Upper-Intermediate (вище середнього),Корпоративні системи,12/06/2017 22:32:39,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,1.0,4750,,SDEV,4387.076923076923
1681,Senior Software Engineer,Java,,6,3,2500,0,Дніпро,до 200 осіб,Аутсорсингова,чоловіча,30,Вища,ДНУ ім. Гончара,False,Intermediate (середній),Android,12/06/2017 22:33:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,3.0,2500,,DEV,3243.2009259259257
1682,Junior Software Engineer,Python,,0.5,0.5,800,200,Запоріжжя,до 50 осіб,Аутсорсингова,чоловіча,31,Вища,Інший ВНЗ,False,Intermediate (середній),Веб-розробка,12/06/2017 22:33:08,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/56.0.2924.76 Chrome/56.0.2924.76 Safari/537.36",0.5,0.5,800,,DEV,605.65859375
